"","lon","lat","pin"
"487",-77.4492217,37.4734341,"C0090800002"
"488",-77.4615324,37.4883496,"C0090379016"
"489",-77.4415791,37.5618949,"N0000442004"
"490",-77.4430073,37.5484345,"N0000150008"
"491",-77.431579,37.554775,"N0000228002"
"492",-77.4456163,37.5564973,"N0000436017"
"493",-77.4285339,37.5552447,"N0000338020"
"494",-77.4246444,37.5364367,"E0000185004"
"495",-77.5240972,37.5140707,"C0050603008"
"496",-77.4463933,37.5650962,"N0000752007"
"497",-77.5656274,37.5532357,"C0010757005"
"498",-77.4681146,37.489548,"W0001960001"
"499",-77.5276807,37.5889757,"W0210103008"
"500",-77.5289573,37.5896653,"W0210103004"
"501",-77.4896005,37.521287,"S0060293010"
"502",-77.5265161,37.5103098,"C0050599012"
"503",-77.4199147,37.5388752,"E0000327035"
"504",-77.486644,37.5096028,"C0051049006"
"505",-77.4506337,37.6015817,"N0170080016"
"506",-77.4645055,37.5746656,"N0001316051"
"507",-77.4832153,37.5538289,"W0001510020"
"508",-77.4559226,37.5139204,"S0000685029"
"509",-77.5117314,37.5210034,"C0050472038"
"510",-77.4140771,37.5491738,"E0001234001"
"511",-77.5028789,37.552483,"W0220385004"
"512",-77.4116325,37.5437998,"E0000776030"
"513",-77.420472,37.528247,"E0000442001"
"514",-77.43825,37.52347,"S0000076022"
"515",-77.4345709,37.543478,"N0000006004"
"516",-77.5261079,37.516473,"C0050529008"
"517",-77.4665344,37.5484059,"W0000898018B"
"518",-77.412355,37.53646,"E0000431018B"
"519",-77.4682432,37.5485048,"W0000940013B"
"520",-77.4505478,37.5532001,"N0000466001"
"521",-77.4420665,37.5244057,"S0000039012B"
"522",-77.4854557,37.5078224,"C0060218008"
"523",-77.4726844,37.4904151,"C0060472026"
"524",-77.428957,37.485778,"S0080392030"
"525",-77.4556761,37.4938187,"C0090257030"
"526",-77.4667588,37.4880017,"C0090350022"
"527",-77.4264268,37.5345252,"E0000130012"
"528",-77.4133191,37.5592359,"E0120088001"
"529",-77.4319189,37.555906,"N0000262005"
"530",-77.4658681,37.5762964,"N0001317019"
"531",-77.4721536,37.5656038,"N0001591022"
"532",-77.462565,37.567315,"N0001292011"
"533",-77.515922,37.5300303,"C0050225056"
